PrimaryID,CEI,OT,HRES,NED,NECM,NEI,MCNCP2,NEW,TCED,MCED,MCIND,TNCID,NCIO,CEO,NCP,MINCP,MCMNCP,MCNCP1,LPP,CNWP,CNCM,CND,CNFP,CNSP
18716385,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6715,0,1,1,7,1
2228849,0,0,0,1,1,0,0,1,29,28,0,0,0,29,0,0,0,0,479,1,1,1,1,3
2669647,0,0,0,1,1,0,0,0,2,1,0,0,0,2,0,0,0,0,3053,0,1,1,0,1
2228859,0,1,0,2,2,0,0,1,519,510,9,9,0,0,0,0,0,0,9797,1,2,2,0,2
6459390,0,0,0,0,0,0,0,0,0,0,0,0,224,1747,0,0,0,0,0,0,2,1,1,0
2510432,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3053,0,1,1,22,0
2510433,0,0,0,1,1,0,0,0,188,187,25,25,25,188,0,0,0,0,0,0,1,1,5,0
274066,0,0,0,2,3,1,0,0,32,25,2,2,0,6,0,0,0,0,1925,0,2,2,1,2
2510431,0,0,0,1,1,0,0,0,294,293,40,40,40,294,0,0,0,0,9797,0,1,1,0,1
2510430,0,0,0,3,3,0,0,0,253,231,0,0,0,232,0,0,0,0,3053,0,4,4,61,0
2510425,0,0,0,4,4,0,0,0,306,154,0,0,0,155,0,0,0,0,0,0,4,4,0,0
1275111,0,0,0,1,1,0,0,0,408,407,3,3,3,408,0,0,0,0,3053,0,1,1,4,5
148608,0,0,0,1,1,0,0,1,2187,2186,0,0,0,2187,0,0,0,0,9797,1,5,5,3,1
2228812,0,0,0,3,3,0,0,1,55,48,0,0,0,49,0,0,0,0,135,1,3,3,2,2
2228813,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,5361,2,1,1,15,2
2510420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5361,0,1,1,1,1
588467,0,0,0,0,0,0,0,1,0,0,0,0,1,61,0,0,0,0,1017,1,1,1,0,1
2669674,0,0,0,1,1,0,0,0,15,14,0,0,0,15,0,0,0,0,16,0,1,1,0,1
34946756,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3486,0,1,1,18,0
25241,0,0,0,1,2,2,0,1,40,39,4,4,4,40,0,0,0,0,5915,27,10,3,0,32
2228822,0,0,0,1,1,0,0,1,5,4,0,0,0,5,0,0,0,0,9797,4,1,1,0,4
2510415,0,0,0,1,1,0,0,0,2,1,0,0,0,2,0,0,0,0,5915,0,1,1,0,1
395402,0,0,0,2,2,0,0,1,32,27,0,0,0,0,0,0,0,0,0,1,3,3,4,0
2669679,0,0,0,1,1,0,0,0,6,5,0,0,0,4,0,0,0,0,9797,0,1,1,5,1
9036193,0,0,0,1,1,0,0,0,97,96,0,0,0,97,0,0,0,0,9797,0,1,1,5,1
395399,0,0,0,1,1,0,0,2,53,52,1,1,1,53,0,0,0,0,7148,2,1,1,0,3
5119282,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7148,157,28,25,57,181
2669668,0,0,0,1,1,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,1,1,30,0
2510403,0,0,0,1,1,0,0,0,149,148,0,0,0,149,0,0,0,0,6715,0,1,1,2,1
2510514,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3486,0,1,1,0,1
2228906,0,0,0,1,1,0,0,1,884,883,31,31,31,884,0,0,0,0,0,3,1,1,4,0
2510515,0,0,0,2,2,0,0,0,18,12,0,0,0,5,0,0,0,0,7148,0,3,3,0,1
16259704,0,0,0,1,1,0,0,0,14,13,0,0,0,14,0,0,0,0,5915,1,1,1,0,2
2669718,0,0,0,1,1,0,0,0,2,1,0,0,5,24,0,0,0,0,9797,0,2,2,0,0
2510518,0,0,0,3,3,0,0,0,16,12,0,0,0,0,0,0,0,0,7148,0,5,5,0,1
2510519,0,0,0,1,1,0,0,0,80,79,5,5,5,80,0,0,0,0,496,0,1,1,6,1
2510516,0,1,0,3,3,0,0,0,17,8,0,0,0,0,0,0,0,0,0,0,3,3,1,1
2510520,0,0,0,1,1,0,0,0,16,15,0,0,0,16,0,0,0,0,3486,0,2,2,1,1
2510521,0,0,0,1,1,0,0,0,24,23,0,0,0,24,0,0,0,0,6715,0,1,1,1,1
588379,0,0,0,1,1,0,0,3,76,75,0,0,0,76,0,0,0,0,5915,12,1,1,2,15
